yearMonth,species,monthlyCases
"""2014-8""","""Homo sapiens""",33994
"""2014-8""","""Homo sapiens""",15775
"""2014-9""","""Homo sapiens""",22608
"""2014-9""","""Homo sapiens""",10300
"""2015-1""","""Homo sapiens""",209712
"""2015-1""","""Homo sapiens""",106030
"""2015-10""","""Homo sapiens""",8996
"""2015-10""","""Homo sapiens""",6648
"""2015-11""","""Homo sapiens""",17492
"""2015-11""","""Homo sapiens""",13121
"""2015-12""","""Homo sapiens""",31698
"""2015-12""","""Homo sapiens""",21298
"""2015-2""","""Homo sapiens""",270716
"""2015-2""","""Homo sapiens""",142148
"""2015-3""","""Homo sapiens""",162152
"""2015-3""","""Homo sapiens""",93430
"""2015-4""","""Homo sapiens""",40358
"""2015-4""","""Homo sapiens""",24072
"""2015-5""","""Homo sapiens""",19626
"""2015-5""","""Homo sapiens""",10778
"""2015-6""","""Homo sapiens""",37837
"""2015-6""","""Homo sapiens""",25384
"""2015-7""","""Homo sapiens""",41978
"""2015-7""","""Homo sapiens""",20410
"""2015-8""","""Homo sapiens""",38103
"""2015-8""","""Homo sapiens""",20618
"""2015-9""","""Homo sapiens""",16272
"""2015-9""","""Homo sapiens""",8354
"""2016-1""","""Homo sapiens""",130506
"""2016-1""","""Homo sapiens""",84480
"""2016-10""","""Homo sapiens""",30424
"""2016-10""","""Homo sapiens""",15160
"""2016-11""","""Homo sapiens""",47851
"""2016-11""","""Homo sapiens""",20224
"""2016-12""","""Homo sapiens""",172902
"""2016-12""","""Homo sapiens""",58344
"""2016-2""","""Homo sapiens""",331136
"""2016-2""","""Homo sapiens""",184594
"""2016-3""","""Homo sapiens""",227552
"""2016-3""","""Homo sapiens""",134175
"""2016-4""","""Homo sapiens""",85508
"""2016-4""","""Homo sapiens""",54060
"""2016-5""","""Homo sapiens""",36576
"""2016-5""","""Homo sapiens""",27050
"""2016-6""","""Homo sapiens""",19464
"""2016-6""","""Homo sapiens""",14299
"""2016-7""","""Homo sapiens""",15374
"""2016-7""","""Homo sapiens""",9825
"""2016-8""","""Homo sapiens""",27103
"""2016-8""","""Homo sapiens""",14147
"""2016-9""","""Homo sapiens""",21960
"""2016-9""","""Homo sapiens""",12576
"""2017-1""","""Homo sapiens""",298221
"""2017-1""","""Homo sapiens""",115624
"""2017-10""","""Homo sapiens""",31013
"""2017-10""","""Homo sapiens""",21370
"""2017-11""","""Homo sapiens""",53155
"""2017-11""","""Homo sapiens""",33354
"""2017-12""","""Homo sapiens""",187991
"""2017-12""","""Homo sapiens""",104956
"""2017-2""","""Homo sapiens""",154190
"""2017-2""","""Homo sapiens""",62690
"""2017-3""","""Homo sapiens""",83728
"""2017-3""","""Homo sapiens""",37070
"""2017-4""","""Homo sapiens""",43572
"""2017-4""","""Homo sapiens""",22268
"""2017-5""","""Homo sapiens""",50400
"""2017-5""","""Homo sapiens""",23634
"""2017-6""","""Homo sapiens""",44882
"""2017-6""","""Homo sapiens""",16310
"""2017-7""","""Homo sapiens""",81820
"""2017-7""","""Homo sapiens""",43698
"""2017-8""","""Homo sapiens""",53166
"""2017-8""","""Homo sapiens""",29934
"""2017-9""","""Homo sapiens""",41318
"""2017-9""","""Homo sapiens""",21768
"""2018-1""","""Homo sapiens""",455308
"""2018-1""","""Homo sapiens""",258758
"""2018-10""","""Homo sapiens""",29749
"""2018-10""","""Homo sapiens""",19011
"""2018-10""","""Equidae""",188
"""2018-11""","""Homo sapiens""",44912
"""2018-11""","""Homo sapiens""",26421
"""2018-12""","""Homo sapiens""",176328
"""2018-12""","""Homo sapiens""",94770
"""2018-2""","""Homo sapiens""",384492
"""2018-2""","""Homo sapiens""",197598
"""2018-3""","""Homo sapiens""",208734
"""2018-3""","""Homo sapiens""",110486
"""2018-4""","""Homo sapiens""",67686
"""2018-4""","""Homo sapiens""",37794
"""2018-5""","""Homo sapiens""",12986
"""2018-5""","""Homo sapiens""",10927
"""2018-6""","""Homo sapiens""",12196
"""2018-6""","""Homo sapiens""",11292
"""2018-7""","""Homo sapiens""",19558
"""2018-7""","""Homo sapiens""",14854
"""2018-8""","""Homo sapiens""",19760
"""2018-8""","""Homo sapiens""",12699
"""2018-9""","""Homo sapiens""",18634
"""2018-9""","""Homo sapiens""",14000
"""2019-1""","""Homo sapiens""",390936
"""2019-1""","""Homo sapiens""",208126
"""2019-10""","""Homo sapiens""",25798
"""2019-10""","""Homo sapiens""",17456
"""2019-11""","""Homo sapiens""",39552
"""2019-11""","""Homo sapiens""",26035
"""2019-12""","""Homo sapiens""",227436
"""2019-12""","""Homo sapiens""",155621
"""2019-12""","""Aves""",5634
"""2019-2""","""Homo sapiens""",358240
"""2019-2""","""Homo sapiens""",199832
"""2019-2""","""Equidae""",129
"""2019-3""","""Homo sapiens""",178154
"""2019-3""","""Homo sapiens""",100025
"""2019-4""","""Homo sapiens""",91476
"""2019-4""","""Homo sapiens""",53327
"""2019-4""","""Equidae""",699
"""2019-5""","""Homo sapiens""",47016
"""2019-5""","""Homo sapiens""",32164
"""2019-6""","""Homo sapiens""",53580
"""2019-6""","""Homo sapiens""",33988
"""2019-6""","""Aves""",1754
"""2019-7""","""Homo sapiens""",47344
"""2019-7""","""Homo sapiens""",31381
"""2019-8""","""Homo sapiens""",26874
"""2019-8""","""Homo sapiens""",18060
"""2019-8""","""Aves""",195
"""2019-9""","""Homo sapiens""",29395
"""2019-9""","""Homo sapiens""",17964
"""2020-1""","""Homo sapiens""",700352
"""2020-1""","""Homo sapiens""",437500
"""2020-1""","""Aves""",6872
"""2020-10""","""Homo sapiens""",666
"""2020-10""","""Aves""",330
"""2020-10""","""Homo sapiens""",124
"""2020-10""","""Mareca penelope""",4
"""2020-10""","""Anser anser""",1
"""2020-11""","""Homo sapiens""",784
"""2020-11""","""Homo sapiens""",304
"""2020-11""","""Mareca penelope""",1
"""2020-11""","""Cygnus olor""",1
"""2020-11""","""Anas crecca""",1
"""2020-12""","""Aves""",58487
"""2020-12""","""Homo sapiens""",884
"""2020-12""","""Homo sapiens""",390
"""2020-12""","""Mareca penelope""",4
"""2020-12""","""Cygnus olor""",3
"""2020-12""","""Anas crecca""",2
"""2020-12""","""Anser anser""",1
"""2020-12""","""Branta canadensis""",1
"""2020-2""","""Homo sapiens""",429455
"""2020-2""","""Homo sapiens""",232769
"""2020-2""","""Aves""",7990
"""2020-2""","""Tyto longimembris""",4
"""2020-2""","""Corvus splendens""",4
"""2020-3""","""Homo sapiens""",111320
"""2020-3""","""Homo sapiens""",58546
"""2020-3""","""Aves""",2665
"""2020-3""","""Corvus splendens""",197
"""2020-3""","""Harpactes erythrocephalus""",7
"""2020-4""","""Aves""",3070
"""2020-4""","""Homo sapiens""",1222
"""2020-4""","""Homo sapiens""",596
"""2020-5""","""Homo sapiens""",160
"""2020-5""","""Homo sapiens""",102
"""2020-5""","""Equidae""",2
"""2020-6""","""Homo sapiens""",118
"""2020-6""","""Homo sapiens""",78
"""2020-7""","""Aves""",500
"""2020-7""","""Homo sapiens""",82
"""2020-7""","""Homo sapiens""",70
"""2020-7""","""Equidae""",1
"""2020-8""","""Aves""",1105
"""2020-8""","""Homo sapiens""",272
"""2020-8""","""Homo sapiens""",82
"""2020-9""","""Aves""",862
"""2020-9""","""Homo sapiens""",602
"""2020-9""","""Homo sapiens""",42
"""2021-1""","""Aves""",15944
"""2021-1""","""Homo sapiens""",1600
"""2021-1""","""Homo sapiens""",1452
"""2021-1""","""Cygnus olor""",4
"""2021-1""","""Anser indicus""",1
"""2021-10""","""Aves""",72150
"""2021-10""","""Phalacrocorax capensis""",10576
"""2021-10""","""Homo sapiens""",10250
"""2021-10""","""Homo sapiens""",6412
"""2021-10""","""Spheniscus demersus""",207
"""2021-10""","""Morus capensis""",20
"""2021-10""","""Phasianus colchicus""",5
"""2021-10""","""Haliaeetus albicilla""",3
"""2021-10""","""Accipiter gentilis""",3
"""2021-10""","""Alopochen aegyptiaca""",2
"""2021-10""","""Phalacrocorax lucidus""",2
"""2021-10""","""Strix uralensis""",1
"""2021-11""","""Aves""",141055
"""2021-11""","""Homo sapiens""",25760
"""2021-11""","""Homo sapiens""",12104
"""2021-11""","""Phalacrocorax capensis""",2701
"""2021-11""","""Anser albifrons""",1
"""2021-11""","""Cygnus olor""",1
"""2021-11""","""Larus marinus""",1
"""2021-11""","""Larus argentatus""",1
"""2021-11""","""Accipiter gentilis""",1
"""2021-11""","""Sterna hirundo""",1
"""2021-12""","""Aves""",140564
"""2021-12""","""Homo sapiens""",72994
"""2021-12""","""Homo sapiens""",7410
"""2021-12""","""Phalacrocorax capensis""",33
"""2021-12""","""Sterna hirundo""",2
"""2021-12""","""Accipiter gentilis""",1
"""2021-12""","""Phalacrocorax lucidus""",1
"""2021-2""","""Aves""",141402
"""2021-2""","""Homo sapiens""",600
"""2021-2""","""Homo sapiens""",520
"""2021-2""","""Branta leucopsis""",1
"""2021-3""","""Aves""",306838
"""2021-3""","""Homo sapiens""",1468
"""2021-3""","""Homo sapiens""",1368
"""2021-3""","""Branta leucopsis""",4
"""2021-3""","""Anser sp.""",1
"""2021-3""","""Milvus milvus""",1
"""2021-3""","""Uria aalge""",1
"""2021-3""","""Larus fuscus graellsii""",1
"""2021-4""","""Aves""",124713
"""2021-4""","""Homo sapiens""",982
"""2021-4""","""Homo sapiens""",786
"""2021-4""","""Equidae""",290
"""2021-4""","""Branta leucopsis""",9
"""2021-4""","""Corvus frugilegus""",3
"""2021-4""","""Ciconia ciconia""",1
"""2021-4""","""Haliaeetus albicilla""",1
"""2021-5""","""Aves""",206523
"""2021-5""","""Homo sapiens""",1520
"""2021-5""","""Homo sapiens""",540
"""2021-5""","""Phalacrocorax capensis""",223
"""2021-5""","""Spheniscus demersus""",178
