yearMonth,country,species,monthlyCases
"""2005-11""","""CN""","""Homo sapiens""",6528
"""2005-11""","""UA""","""Aves""",2272
"""2005-11""","""MX""","""Homo sapiens""",776
"""2005-11""","""JP""","""Homo sapiens""",448
"""2005-11""","""PH""","""Homo sapiens""",388
"""2005-11""","""RO""","""Aves""",369
"""2005-11""","""TR""","""Aves""",237
"""2005-11""","""TH""","""Homo sapiens""",222
"""2005-11""","""BR""","""Homo sapiens""",96
"""2005-11""","""MG""","""Homo sapiens""",78
"""2005-11""","""EG""","""Homo sapiens""",62
"""2005-11""","""TN""","""Homo sapiens""",51
"""2005-11""","""MN""","""Homo sapiens""",45
"""2005-11""","""CO""","""Homo sapiens""",32
"""2005-11""","""US""","""Homo sapiens""",31
"""2005-11""","""PT""","""Homo sapiens""",12
"""2005-11""","""SE""","""Homo sapiens""",12
"""2005-11""","""PE""","""Homo sapiens""",6
"""2005-11""","""IL""","""Homo sapiens""",3
"""2005-11""","""CZ""","""Homo sapiens""",3
"""2005-11""","""DE""","""Homo sapiens""",2
"""2005-11""","""TR""","""Homo sapiens""",2
"""2005-11""","""SI""","""Homo sapiens""",2
"""2005-12""","""UA""","""Aves""",146349
"""2005-12""","""CN""","""Homo sapiens""",7614
"""2005-12""","""JP""","""Homo sapiens""",2288
"""2005-12""","""TR""","""Aves""",2005
"""2005-12""","""RO""","""Aves""",850
"""2005-12""","""MN""","""Homo sapiens""",291
"""2005-12""","""MG""","""Homo sapiens""",288
"""2005-12""","""MX""","""Homo sapiens""",162
"""2005-12""","""EG""","""Homo sapiens""",158
"""2005-12""","""US""","""Homo sapiens""",109
"""2005-12""","""TN""","""Homo sapiens""",108
"""2005-12""","""PH""","""Homo sapiens""",81
"""2005-12""","""FR""","""Homo sapiens""",81
"""2005-12""","""TR""","""Homo sapiens""",36
"""2005-12""","""SE""","""Homo sapiens""",30
"""2005-12""","""NO""","""Homo sapiens""",30
"""2005-12""","""ZA""","""Homo sapiens""",27
"""2005-12""","""ZW""","""Homo sapiens""",27
"""2005-12""","""TH""","""Homo sapiens""",24
"""2005-12""","""CO""","""Homo sapiens""",14
"""2005-12""","""CZ""","""Homo sapiens""",12
"""2005-12""","""IL""","""Homo sapiens""",6
"""2005-12""","""LV""","""Homo sapiens""",6
"""2005-12""","""BR""","""Homo sapiens""",6
"""2005-12""","""PT""","""Homo sapiens""",6
"""2005-12""","""GR""","""Homo sapiens""",6
"""2005-2""","""JP""","""Homo sapiens""",10680
"""2005-2""","""FR""","""Homo sapiens""",5280
"""2005-2""","""DE""","""Homo sapiens""",4146
"""2005-2""","""IT""","""Homo sapiens""",3260
"""2005-2""","""BE""","""Homo sapiens""",3249
"""2005-2""","""SE""","""Homo sapiens""",2190
"""2005-2""","""CN""","""Homo sapiens""",1914
"""2005-2""","""ZA""","""Homo sapiens""",1876
"""2005-2""","""ZW""","""Homo sapiens""",1760
"""2005-2""","""CH""","""Homo sapiens""",1143
"""2005-2""","""BD""","""Homo sapiens""",1086
"""2005-2""","""GR""","""Homo sapiens""",750
"""2005-2""","""NO""","""Homo sapiens""",459
"""2005-2""","""US""","""Homo sapiens""",459
"""2005-2""","""ID""","""Homo sapiens""",417
"""2005-2""","""FI""","""Homo sapiens""",366
"""2005-2""","""SI""","""Homo sapiens""",334
"""2005-2""","""PT""","""Homo sapiens""",267
"""2005-2""","""TH""","""Homo sapiens""",252
"""2005-2""","""DK""","""Homo sapiens""",232
"""2005-2""","""LV""","""Homo sapiens""",210
"""2005-2""","""PE""","""Homo sapiens""",200
"""2005-2""","""IL""","""Homo sapiens""",144
"""2005-2""","""RO""","""Homo sapiens""",108
"""2005-2""","""PL""","""Homo sapiens""",69
"""2005-2""","""TN""","""Homo sapiens""",39
"""2005-2""","""IS""","""Homo sapiens""",38
"""2005-2""","""GF""","""Homo sapiens""",33
"""2005-2""","""MX""","""Homo sapiens""",30
"""2005-2""","""BG""","""Homo sapiens""",21
"""2005-2""","""IE""","""Homo sapiens""",20
"""2005-2""","""MN""","""Homo sapiens""",18
"""2005-2""","""BR""","""Homo sapiens""",18
"""2005-2""","""UA""","""Homo sapiens""",16
"""2005-2""","""PH""","""Homo sapiens""",15
"""2005-2""","""PY""","""Homo sapiens""",8
"""2005-2""","""CL""","""Homo sapiens""",6
"""2005-2""","""AU""","""Homo sapiens""",4
"""2005-2""","""AR""","""Homo sapiens""",4
"""2005-2""","""ES""","""Homo sapiens""",4
"""2005-2""","""CO""","""Homo sapiens""",2
"""2005-3""","""CN""","""Homo sapiens""",6975
"""2005-3""","""JP""","""Homo sapiens""",3836
"""2005-3""","""FR""","""Homo sapiens""",2745
"""2005-3""","""SE""","""Homo sapiens""",2010
"""2005-3""","""DE""","""Homo sapiens""",1832
"""2005-3""","""LV""","""Homo sapiens""",1449
"""2005-3""","""BE""","""Homo sapiens""",1449
"""2005-3""","""ZA""","""Homo sapiens""",969
"""2005-3""","""ZW""","""Homo sapiens""",915
"""2005-3""","""RO""","""Homo sapiens""",804
"""2005-3""","""NO""","""Homo sapiens""",636
"""2005-3""","""US""","""Homo sapiens""",636
"""2005-3""","""ID""","""Homo sapiens""",534
"""2005-3""","""IT""","""Homo sapiens""",519
"""2005-3""","""CH""","""Homo sapiens""",312
"""2005-3""","""BD""","""Homo sapiens""",172
"""2005-3""","""GR""","""Homo sapiens""",153
"""2005-3""","""PE""","""Homo sapiens""",144
"""2005-3""","""TH""","""Homo sapiens""",138
"""2005-3""","""DK""","""Homo sapiens""",108
"""2005-3""","""FI""","""Homo sapiens""",100
"""2005-3""","""BY""","""Homo sapiens""",72
"""2005-3""","""UA""","""Homo sapiens""",62
"""2005-3""","""MX""","""Homo sapiens""",36
"""2005-3""","""SI""","""Homo sapiens""",34
