yearMonth,species,class,monthlyCases
"""2022-4""","""Puma""","""Mammalia""",1
"""2022-4""","""Pekania pennanti""","""Mammalia""",1
"""2022-4""","""Lynx rufus""","""Mammalia""",1
"""2022-4""","""Corvus corax""","""Aves""",1
"""2022-4""","""Branta leucopsis""","""Aves""",1
"""2022-4""","""Chroicocephalus ridibundus""","""Aves""",1
"""2022-4""","""Stercorarius skua""","""Aves""",1
"""2022-4""","""Neogale vison""","""Mammalia""",1
"""2022-4""","""Corvus corone""","""Aves""",1
"""2022-4""","""Nyctereutes procyonoides""","""Mammalia""",1
"""2022-4""","""Anas platyrhynchos""","""Aves""",1
"""2022-5""","""Aves""",null,99755
"""2022-5""","""Ichthyaetus ichthyaetus""","""Aves""",300
"""2022-5""","""Vulpes vulpes""","""Mammalia""",50
"""2022-5""","""Mephitis mephitis""","""Mammalia""",28
"""2022-5""","""Pelecanus crispus""","""Aves""",26
"""2022-5""","""Chlidonias hybrida""","""Aves""",18
"""2022-5""","""Stercorarius skua""","""Aves""",9
"""2022-5""","""Didelphis virginiana""","""Mammalia""",2
"""2022-5""","""Larus argentatus""","""Aves""",2
"""2022-5""","""Canis latrans""","""Mammalia""",1
"""2022-5""","""Lynx rufus""","""Mammalia""",1
"""2022-5""","""Larus fuscus graellsii""","""Aves""",1
"""2022-6""","""Aves""",null,21272
"""2022-6""","""Chroicocephalus ridibundus""","""Aves""",100
"""2022-6""","""Phoca vitulina""","""Mammalia""",17
"""2022-6""","""Vulpes vulpes""","""Mammalia""",7
"""2022-6""","""Uria aalge""","""Aves""",6
"""2022-6""","""Morus bassanus""","""Aves""",5
"""2022-6""","""Mephitis mephitis""","""Mammalia""",3
"""2022-6""","""Stercorarius skua""","""Aves""",2
"""2022-6""","""Sterna hirundo""","""Aves""",2
"""2022-6""","""Anas platyrhynchos""","""Aves""",1
"""2022-6""","""Columba livia""","""Aves""",1
"""2022-7""","""Aves""",null,124836
"""2022-7""","""Chroicocephalus brunnicephalus""","""Aves""",273
"""2022-7""","""Uria aalge""","""Aves""",25
"""2022-7""","""Phoca vitulina""","""Mammalia""",10
"""2022-7""","""Morus bassanus""","""Aves""",5
"""2022-7""","""Larus argentatus""","""Aves""",4
"""2022-7""","""Sterna paradisaea""","""Aves""",3
"""2022-7""","""Columba livia""","""Aves""",2
"""2022-7""","""Sterna hirundo""","""Aves""",2
"""2022-7""","""Larus michahellis atlantis""","""Aves""",1
"""2022-7""","""Halichoerus grypus""","""Mammalia""",1
"""2022-7""","""Mephitis mephitis""","""Mammalia""",1
"""2022-7""","""Spheniscus demersus""","""Aves""",1
"""2022-8""","""Aves""",null,140931
"""2022-8""","""Bos taurus""","""Mammalia""",4
"""2022-8""","""Ursus maritimus""","""Mammalia""",1
"""2022-8""","""Anas platyrhynchos""","""Aves""",1
"""2022-8""","""Morus bassanus""","""Aves""",1
"""2022-9""","""Aves""",null,265634
"""2022-9""","""Chroicocephalus ridibundus""","""Aves""",196
"""2022-9""","""Cygnus olor""","""Aves""",39
"""2022-9""","""Anser anser""","""Aves""",38
"""2022-9""","""Branta canadensis""","""Aves""",23
"""2022-9""","""Larus argentatus""","""Aves""",22
"""2022-9""","""Larus fuscus graellsii""","""Aves""",21
"""2022-9""","""Gallinula chloropus""","""Aves""",12
"""2022-9""","""Fulmarus glacialis""","""Aves""",7
"""2022-9""","""Larus canus""","""Aves""",6
"""2022-9""","""Morus bassanus""","""Aves""",6
"""2022-9""","""Bos taurus""","""Mammalia""",5
"""2022-9""","""Vulpes vulpes""","""Mammalia""",5
"""2022-9""","""Stercorarius skua""","""Aves""",4
"""2022-9""","""Nasua nasua""","""Mammalia""",3
"""2022-9""","""Larus marinus""","""Aves""",3
"""2022-9""","""Circus cyaneus""","""Aves""",1
"""2022-9""","""Anas crecca""","""Aves""",1
"""2022-9""","""Columba livia""","""Aves""",1
"""2022-9""","""Corvus corax""","""Aves""",1
"""2022-9""","""Panthera pardus orientalis""","""Mammalia""",1
"""2023-1""","""Aves""",null,2365775
"""2023-1""","""Cygnus olor""","""Aves""",104
"""2023-1""","""Chroicocephalus ridibundus""","""Aves""",55
"""2023-1""","""Mephitis mephitis""","""Mammalia""",42
"""2023-1""","""Sula variegata""","""Aves""",14
"""2023-1""","""Corvus macrorhynchos""","""Aves""",14
"""2023-1""","""Phalacrocorax carbo""","""Aves""",13
"""2023-1""","""Larus dominicanus""","""Aves""",13
"""2023-1""","""Vulpes vulpes""","""Mammalia""",13
"""2023-1""","""Larus argentatus""","""Aves""",11
"""2023-1""","""Branta canadensis""","""Aves""",11
"""2023-1""","""Anas platyrhynchos""","""Aves""",9
"""2023-1""","""Larosterna inca""","""Aves""",9
"""2023-1""","""Accipiter nisus""","""Aves""",9
"""2023-1""","""Anser anser""","""Aves""",8
"""2023-1""","""Larus michahellis atlantis""","""Aves""",7
"""2023-1""","""Leucophaeus modestus""","""Aves""",7
"""2023-1""","""Branta leucopsis""","""Aves""",6
"""2023-1""","""Sterna hirundo""","""Aves""",6
"""2023-1""","""Grus monacha""","""Aves""",6
