yearMonth,species,class,monthlyCases
"""2013-2""","""Homo sapiens""","""Mammalia""",86282
"""2013-2""","""Aves""",null,4973
"""2013-2""","""Bos taurus""","""Mammalia""",1
"""2013-3""","""Homo sapiens""","""Mammalia""",84211
"""2013-3""","""Homo sapiens""","""Mammalia""",46562
"""2013-3""","""Aves""",null,3885
"""2013-3""","""Aves""",null,1566
"""2013-4""","""Aves""",null,205582
"""2013-4""","""Homo sapiens""","""Mammalia""",39866
"""2013-4""","""Homo sapiens""","""Mammalia""",23481
"""2013-4""","""Aves""",null,51
"""2013-4""","""Corvus splendens""","""Aves""",1
"""2013-5""","""Homo sapiens""","""Mammalia""",15935
"""2013-5""","""Homo sapiens""","""Mammalia""",10946
"""2013-5""","""Aves""",null,3214
"""2013-5""","""Aves""",null,2
"""2013-6""","""Homo sapiens""","""Mammalia""",23861
"""2013-6""","""Homo sapiens""","""Mammalia""",15328
"""2013-6""","""Aves""",null,8068
"""2013-6""","""Aves""",null,886
"""2013-7""","""Aves""",null,74608
"""2013-7""","""Homo sapiens""","""Mammalia""",30616
"""2013-7""","""Homo sapiens""","""Mammalia""",20634
"""2013-7""","""Equidae""","""Mammalia""",10
"""2013-7""","""Corvus splendens""","""Aves""",1
"""2013-8""","""Aves""",null,48987
"""2013-8""","""Homo sapiens""","""Mammalia""",17810
"""2013-8""","""Homo sapiens""","""Mammalia""",11500
"""2013-8""","""Aves""",null,4423
"""2013-9""","""Homo sapiens""","""Mammalia""",20028
"""2013-9""","""Homo sapiens""","""Mammalia""",12584
"""2013-9""","""Aves""",null,4529
"""2013-9""","""Aves""",null,415
"""2014-1""","""Homo sapiens""","""Mammalia""",175881
"""2014-1""","""Homo sapiens""","""Mammalia""",92307
"""2014-1""","""Aves""",null,3895
"""2014-1""","""Aves""",null,14
"""2014-10""","""Homo sapiens""","""Mammalia""",9319
"""2014-10""","""Homo sapiens""","""Mammalia""",3837
"""2014-11""","""Homo sapiens""","""Mammalia""",23186
"""2014-11""","""Homo sapiens""","""Mammalia""",8567
"""2014-12""","""Homo sapiens""","""Mammalia""",122461
"""2014-12""","""Homo sapiens""","""Mammalia""",50471
"""2014-2""","""Homo sapiens""","""Mammalia""",149442
"""2014-2""","""Homo sapiens""","""Mammalia""",80524
"""2014-2""","""Aves""",null,37006
"""2014-2""","""Aves""",null,8
"""2014-3""","""Homo sapiens""","""Mammalia""",99853
"""2014-3""","""Homo sapiens""","""Mammalia""",56209
"""2014-3""","""Aves""",null,23136
"""2014-3""","""Aves""",null,6
"""2014-4""","""Homo sapiens""","""Mammalia""",32316
"""2014-4""","""Homo sapiens""","""Mammalia""",17548
"""2014-4""","""Aves""",null,5
"""2014-5""","""Homo sapiens""","""Mammalia""",18435
"""2014-5""","""Homo sapiens""","""Mammalia""",10094
"""2014-6""","""Homo sapiens""","""Mammalia""",27963
"""2014-6""","""Homo sapiens""","""Mammalia""",14198
"""2014-6""","""Aves""",null,2
"""2014-7""","""Homo sapiens""","""Mammalia""",37880
"""2014-7""","""Homo sapiens""","""Mammalia""",18595
"""2014-8""","""Homo sapiens""","""Mammalia""",33994
"""2014-8""","""Homo sapiens""","""Mammalia""",15775
"""2014-9""","""Homo sapiens""","""Mammalia""",22608
"""2014-9""","""Homo sapiens""","""Mammalia""",10300
"""2015-1""","""Homo sapiens""","""Mammalia""",209712
"""2015-1""","""Homo sapiens""","""Mammalia""",106030
"""2015-10""","""Homo sapiens""","""Mammalia""",8996
"""2015-10""","""Homo sapiens""","""Mammalia""",6648
"""2015-11""","""Homo sapiens""","""Mammalia""",17492
"""2015-11""","""Homo sapiens""","""Mammalia""",13121
"""2015-12""","""Homo sapiens""","""Mammalia""",31698
