yearMonth,country,species,class,monthlyCases
"""2005-2""","""CO""","""Homo sapiens""","""Mammalia""",2
"""2005-3""","""CN""","""Homo sapiens""","""Mammalia""",6975
"""2005-3""","""JP""","""Homo sapiens""","""Mammalia""",3836
"""2005-3""","""FR""","""Homo sapiens""","""Mammalia""",2745
"""2005-3""","""SE""","""Homo sapiens""","""Mammalia""",2010
"""2005-3""","""DE""","""Homo sapiens""","""Mammalia""",1832
"""2005-3""","""LV""","""Homo sapiens""","""Mammalia""",1449
"""2005-3""","""BE""","""Homo sapiens""","""Mammalia""",1449
"""2005-3""","""ZA""","""Homo sapiens""","""Mammalia""",969
"""2005-3""","""ZW""","""Homo sapiens""","""Mammalia""",915
"""2005-3""","""RO""","""Homo sapiens""","""Mammalia""",804
"""2005-3""","""NO""","""Homo sapiens""","""Mammalia""",636
"""2005-3""","""US""","""Homo sapiens""","""Mammalia""",636
"""2005-3""","""ID""","""Homo sapiens""","""Mammalia""",534
"""2005-3""","""IT""","""Homo sapiens""","""Mammalia""",519
"""2005-3""","""CH""","""Homo sapiens""","""Mammalia""",312
"""2005-3""","""BD""","""Homo sapiens""","""Mammalia""",172
"""2005-3""","""GR""","""Homo sapiens""","""Mammalia""",153
"""2005-3""","""PE""","""Homo sapiens""","""Mammalia""",144
"""2005-3""","""TH""","""Homo sapiens""","""Mammalia""",138
"""2005-3""","""DK""","""Homo sapiens""","""Mammalia""",108
"""2005-3""","""FI""","""Homo sapiens""","""Mammalia""",100
"""2005-3""","""BY""","""Homo sapiens""","""Mammalia""",72
"""2005-3""","""UA""","""Homo sapiens""","""Mammalia""",62
"""2005-3""","""MX""","""Homo sapiens""","""Mammalia""",36
"""2005-3""","""SI""","""Homo sapiens""","""Mammalia""",34
"""2005-3""","""IE""","""Homo sapiens""","""Mammalia""",34
"""2005-3""","""BG""","""Homo sapiens""","""Mammalia""",33
"""2005-3""","""BR""","""Homo sapiens""","""Mammalia""",27
"""2005-3""","""IL""","""Homo sapiens""","""Mammalia""",24
"""2005-3""","""MN""","""Homo sapiens""","""Mammalia""",18
"""2005-3""","""PH""","""Homo sapiens""","""Mammalia""",18
"""2005-3""","""CL""","""Homo sapiens""","""Mammalia""",18
"""2005-3""","""PT""","""Homo sapiens""","""Mammalia""",18
"""2005-3""","""PL""","""Homo sapiens""","""Mammalia""",12
"""2005-3""","""VE""","""Homo sapiens""","""Mammalia""",12
"""2005-3""","""GF""","""Homo sapiens""","""Mammalia""",6
"""2005-3""","""AR""","""Homo sapiens""","""Mammalia""",6
"""2005-3""","""PY""","""Homo sapiens""","""Mammalia""",4
"""2005-12""","""TR""","""Aves""","""Aves""",2005
"""2005-4""","""CN""","""Homo sapiens""","""Mammalia""",8379
"""2005-4""","""JP""","""Homo sapiens""","""Mammalia""",780
"""2005-4""","""LV""","""Homo sapiens""","""Mammalia""",777
"""2005-4""","""PE""","""Homo sapiens""","""Mammalia""",378
"""2005-4""","""FR""","""Homo sapiens""","""Mammalia""",333
"""2005-4""","""SE""","""Homo sapiens""","""Mammalia""",333
"""2005-4""","""ID""","""Homo sapiens""","""Mammalia""",219
"""2005-4""","""NO""","""Homo sapiens""","""Mammalia""",174
"""2005-4""","""US""","""Homo sapiens""","""Mammalia""",174
"""2005-4""","""ZA""","""Homo sapiens""","""Mammalia""",145
"""2005-4""","""RO""","""Homo sapiens""","""Mammalia""",117
"""2005-4""","""ZW""","""Homo sapiens""","""Mammalia""",111
"""2005-4""","""PH""","""Homo sapiens""","""Mammalia""",84
"""2005-4""","""TH""","""Homo sapiens""","""Mammalia""",66
"""2005-4""","""CL""","""Homo sapiens""","""Mammalia""",60
"""2005-4""","""GR""","""Homo sapiens""","""Mammalia""",48
"""2005-4""","""AR""","""Homo sapiens""","""Mammalia""",44
"""2005-4""","""MX""","""Homo sapiens""","""Mammalia""",40
"""2005-4""","""IT""","""Homo sapiens""","""Mammalia""",37
"""2005-4""","""TN""","""Homo sapiens""","""Mammalia""",36
"""2005-4""","""DK""","""Homo sapiens""","""Mammalia""",20
"""2005-4""","""UA""","""Homo sapiens""","""Mammalia""",10
"""2005-4""","""FI""","""Homo sapiens""","""Mammalia""",10
"""2005-4""","""GF""","""Homo sapiens""","""Mammalia""",9
"""2005-4""","""BR""","""Homo sapiens""","""Mammalia""",9
"""2005-4""","""CO""","""Homo sapiens""","""Mammalia""",8
"""2005-4""","""AU""","""Homo sapiens""","""Mammalia""",8
"""2005-4""","""MN""","""Homo sapiens""","""Mammalia""",6
"""2005-4""","""BD""","""Homo sapiens""","""Mammalia""",5
"""2005-4""","""PY""","""Homo sapiens""","""Mammalia""",4
"""2005-4""","""IS""","""Homo sapiens""","""Mammalia""",4
"""2005-4""","""CH""","""Homo sapiens""","""Mammalia""",3
"""2005-4""","""VE""","""Homo sapiens""","""Mammalia""",2
"""2005-4""","""UY""","""Homo sapiens""","""Mammalia""",2
"""2005-12""","""RO""","""Aves""","""Aves""",850
"""2005-5""","""CN""","""Homo sapiens""","""Mammalia""",17091
"""2005-5""","""ZA""","""Homo sapiens""","""Mammalia""",1847
"""2005-5""","""CL""","""Homo sapiens""","""Mammalia""",624
"""2005-5""","""AR""","""Homo sapiens""","""Mammalia""",468
"""2005-5""","""PE""","""Homo sapiens""","""Mammalia""",386
"""2005-5""","""JP""","""Homo sapiens""","""Mammalia""",360
"""2005-5""","""PY""","""Homo sapiens""","""Mammalia""",356
"""2005-5""","""PH""","""Homo sapiens""","""Mammalia""",258
"""2005-5""","""IT""","""Homo sapiens""","""Mammalia""",234
"""2005-5""","""AU""","""Homo sapiens""","""Mammalia""",116
"""2005-5""","""LV""","""Homo sapiens""","""Mammalia""",57
