uq
"""ZA-Arctocephalus pusillus-Anisakis physeteris"""
"""ZA-Arctocephalus pusillus-Anisakis simplex"""
"""NZ-Arctocephalus pusillus doriferus-Contracaecum ogmorhini"""
"""ZA-Arctocephalus pusillus pusillus-Contracaecum ogmorhini"""
"""ZA-Arctocephalus pusillus-Contracaecum ogmorhini"""
"""AU-Arctocephalus pusillus doriferus-Contracaecum ogmorhini"""
"""ZA-Arctocephalus pusillus-Hepatoxylon trichiuri"""
"""AU-Arctocephalus pusillus doriferus-Mycobacterium tuberculosis"""
"""AU-Arctocephalus pusillus-Parafilaroides normani"""
"""ZA-Arctocephalus pusillus-Phyllobothrium delphini"""
"""SH-Arctocephalus tropicalis-Anisakis simplex"""
"""SH-Arctocephalus tropicalis-Lepas australis"""
"""SH-Arctocephalus tropicalis-Clistobothrium grimaldii"""
"""AR-Arctocephalus tropicalis-Mycobacterium tuberculosis"""
"""ZA-Arctocephalus tropicalis-Parafilaroides normani"""
"""SH-Arctocephalus tropicalis-Phyllobothrium delphini"""
"""CO-Ateles hybridus-Trypanosoma cruzi"""
"""CO-Ateles belzebuth-Trypanosoma cruzi"""
"""PE-Ateles chamek-Blastocystis hominis"""
"""PE-Ateles chamek-Chilomastix mesnili"""
"""PE-Ateles chamek-Trichuris trichiura"""
"""PA-Ateles fusciceps-Plasmodium brasilianum"""
"""PA-Ateles fusciceps-Trypanosoma cruzi"""
"""PA-Ateles fusciceps-Trypanosoma minasense"""
"""PA-Ateles geoffroyi-Dipetalonema gracile"""
"""PA-Ateles geoffroyi-Yellow fever virus"""
"""PA-Ateles geoffroyi-Mansonella atelensis"""
"""PA-Ateles geoffroyi-Strongyloides fuelleborni"""
"""CO-Ateles geoffroyi-Trypanosoma cruzi"""
"""CO-Ateles geoffroyi-Trypanosoma minasense"""
"""PA-Ateles geoffroyi-Trypanosoma minasense"""
"""BR-Ateles chamek-Balantioides coli"""
"""BR-Ateles chamek-Yellow fever virus"""
"""BR-Ateles paniscus-Histoplasma capsulatum"""
"""BR-Ateles chamek-Leptospira interrogans"""
"""BR-Ateles chamek-Pediculus mjobergi"""
"""BR-Ateles chamek-Plasmodium brasilianum"""
"""PE-Ateles paniscus-Trypanosoma cruzi"""
"""PE-Ateles paniscus-Trypanosoma minasense"""
"""ZA-Atilax paludinosus-Lyssavirus rabies"""
"""US-Axis axis-Amblyomma americanum"""
"""US-Axis axis-Cooperia punctata"""
"""US-Axis axis-Dermacentor albipictus"""
"""NP-Axis axis-Dermacentor auratus"""
"""IN-Axis axis-Dermacentor auratus"""
"""US-Axis axis-Gongylonema pulchrum"""
"""US-Axis axis-Haemonchus contortus"""
"""US-Axis axis-Ixodes scapularis"""
"""US-Axis axis-Lipoptena mazamae"""
"""US-Axis axis-Moniezia benedeni"""
"""US-Axis axis-Oesophagostomum venulosum"""
"""US-Axis axis-Theileria cervi"""
"""US-Axis axis-Trichostrongylus axei"""
"""IN-Axis axis-Trypanosoma evansi"""
"""NP-Axis porcinus porcinus-Dermacentor auratus"""
"""TH-Axis porcinus-Trypanosoma evansi"""
"""MX-Bassariscus astutus-Canine parvovirus"""
"""MX-Bassariscus astutus-Toxoplasma gondii"""
"""US-Bison bison-Anaplasma marginale"""
"""CA-Bison bison-Bacillus anthracis"""
"""RU-Bison bison-Bacillus anthracis"""
"""CA-Bison bison-Brucella abortus"""
"""US-Bison bison-Brucella abortus bv. 1"""
"""US-Bison bison-Coxiella burnetii"""
"""CA-Bison bison-Dermacentor albipictus"""
"""US-Bison bison-Eimeria auburnensis"""
"""US-Bison bison-Eimeria canadensis"""
"""US-Bison bison-Eimeria bovis"""
"""US-Bison bison-Eimeria zuernii"""
