uq
"""IT-Capra hircus-Bluetongue virus"""
"""IL-Ovis aries-Bluetongue virus"""
"""KR-Aves-unidentified influenza virus"""
"""KR-Aves-H5N1 subtype"""
"""LU-Bos taurus-Orbivirus"""
"""LU-Bos taurus-Bluetongue virus"""
"""JO-Ovis aries-Foot-and-mouth disease virus"""
"""RS-Aves-Paenibacillus larvae"""
"""TN-Oryctolagus cuniculus-Myxoma virus"""
"""KE-Bos taurus-Rift Valley fever virus"""
"""KE-Camelidae-Rift Valley fever virus"""
"""VN-Aves-H5N1 subtype"""
"""VN-Aves-unidentified influenza virus"""
"""NI-Sus scrofa-Classical swine fever virus"""
"""IL-Capra hircus-Foot-and-mouth disease virus"""
"""MN-Ovis aries-Capripoxvirus"""
"""IL-Ovis aries-prion"""
"""SG-Homo sapiens-Influenza B virus"""
"""SG-Homo sapiens-Influenza A virus"""
"""GR-Ovis aries-Goatpox virus"""
"""BO-Bos taurus-Foot-and-mouth disease virus"""
"""PA-Homo sapiens-Influenza B virus"""
"""RS-Homo sapiens-Influenza A virus"""
"""SI-Oncorhynchus mykiss-Infectious hematopoietic necrosis virus"""
"""SI-Oncorhynchus mykiss-H5N1 subtype"""
"""KP-Sus scrofa-Foot-and-mouth disease virus"""
"""JP-Aves-H5N1 subtype"""
"""JP-Aves-unidentified influenza virus"""
"""BO-Sus scrofa-Foot-and-mouth disease virus"""
"""CZ-Aves-Foot-and-mouth disease virus"""
"""TZ-Bos taurus-Rift Valley fever virus"""
"""RO-Ovis aries-prion"""
"""SK-Aves-H5N1 subtype"""
"""LA-Aves-H5N1 subtype"""
"""BD-Aves-H5N1 subtype"""
"""IL-Ovis aries-Foot-and-mouth disease virus"""
"""LB-Bos taurus-Foot-and-mouth disease virus"""
"""KW-Aves-H5N1 subtype"""
"""EC-Bos taurus-Lyssavirus rabies"""
"""MM-Aves-unidentified influenza virus"""
"""JP-Aves-Foot-and-mouth disease virus"""
"""MN-Homo sapiens-Influenza B virus"""
"""KH-Homo sapiens-Influenza B virus"""
"""HN-Homo sapiens-Influenza A virus"""
"""PS-Capra hircus-Foot-and-mouth disease virus"""
"""EC-Sus scrofa-Foot-and-mouth disease virus"""
"""EC-Equidae-Vesicular stomatitis virus"""
"""SA-Aves-H5N1 subtype"""
"""RS-Homo sapiens-Influenza B virus"""
"""VN-Sus scrofa-Porcine reproductive and respiratory syndrome virus"""
"""BZ-Ovis aries-Vesicular stomatitis virus"""
"""RS-Aves-Foot-and-mouth disease virus"""
"""US-Aves-unidentified influenza virus"""
"""PA-Homo sapiens-Influenza A virus"""
"""UY-Equidae-Equine infectious anemia virus"""
"""CR-Sus scrofa-Classical swine fever virus"""
"""KZ-Ovis aries-Foot-and-mouth disease virus"""
"""GH-Aves-H5N1 subtype"""
"""GE-Sus scrofa-Porcine circovirus 2"""
"""CN-Sus scrofa-Porcine reproductive and respiratory syndrome virus"""
"""GE-Sus scrofa-African swine fever virus"""
"""HN-Aves-Aphanomyces invadans"""
"""EC-Homo sapiens-Influenza B virus"""
"""EC-Homo sapiens-Influenza A virus"""
"""GB-Aves-unidentified influenza virus"""
"""CL-Aves-unidentified influenza virus"""
"""SN-Equidae-African horse sickness virus"""
"""UG-Homo sapiens-Influenza B virus"""
"""KG-Bos taurus-Foot-and-mouth disease virus"""
"""UG-Homo sapiens-Influenza A virus"""
"""KZ-Bos taurus-Foot-and-mouth disease virus"""
"""TG-Aves-H5N1 subtype"""
"""IL-Bos taurus-Capripoxvirus"""
"""VN-Sus scrofa-Foot-and-mouth disease virus"""
"""CF-Bos taurus-Influenza A virus"""
"""CZ-Aves-H5N1 subtype"""
"""AU-Bos taurus-Bluetongue virus"""
"""ES-Ostrea edulis-Bonamia exitiosa"""
"""SE-Sus scrofa-Porcine reproductive and respiratory syndrome virus"""
"""NG-Sus scrofa-African swine fever virus"""
"""CL-Salmo salar-Infectious salmon anemia virus"""
"""EE-Aves-Vesicular stomatitis virus"""
"""RO-Aves-Cyprinid herpesvirus 3"""
"""DE-Capra hircus-Bluetongue virus"""
"""AM-Sus scrofa-African swine fever virus"""
"""JP-Equidae-Influenza A virus"""
"""AE-Equidae-West Nile virus"""
"""FR-Ovis aries-Bluetongue virus"""
"""LU-Ovis aries-Orbivirus"""
"""AU-Equidae-Influenza A virus"""
"""RU-Sus scrofa-Porcine reproductive and respiratory syndrome virus"""
"""LU-Capra hircus-Orbivirus"""
"""DE-Ovis aries-Orbivirus"""
"""DE-Bos taurus-Orbivirus"""
"""UY-Equidae-Lyssavirus rabies"""
"""UY-Bos taurus-Lyssavirus rabies"""
"""UY-Ovis aries-Lyssavirus rabies"""
"""PT-Aves-unidentified influenza virus"""
"""UY-Sus scrofa-Lyssavirus rabies"""
"""ES-Ovis aries-Bluetongue virus"""
"""ES-Bos taurus-Bluetongue virus"""
"""ES-Capra hircus-Bluetongue virus"""
"""MU-Sus scrofa-African swine fever virus"""
"""PT-Capra hircus-Bluetongue virus"""
"""GB-Bos taurus-Bluetongue virus"""
"""CA-Aves-unidentified influenza virus"""
"""CA-Aves-Influenza A virus"""
"""IR-Equidae-Burkholderia mallei"""
"""JP-Bos taurus-Foot-and-mouth disease virus"""
"""MR-Equidae-African horse sickness virus"""
"""GB-Ovis aries-Bluetongue virus"""
"""SD-Bos taurus-Rift Valley fever virus"""
"""BG-Oncorhynchus mykiss-Viral hemorrhagic septicemia virus"""
"""CN-Equidae-Influenza A virus"""
"""CH-Oryctolagus cuniculus-Myxoma virus"""
"""DK-Ovis aries-Bluetongue virus"""
"""RO-Aves-Porcine reproductive and respiratory syndrome virus"""
"""EE-Aves-Porcine reproductive and respiratory syndrome virus"""
"""MX-Apoidea-Aethina tumida"""
"""GR-Aves-Porcine reproductive and respiratory syndrome virus"""
"""BE-Canis lupus familiaris-Classical swine fever virus"""
"""CH-Bos taurus-Bluetongue virus"""
"""MN-Equidae-Influenza A virus"""
"""CY-Capra hircus-Foot-and-mouth disease virus"""
"""FI-Canis lupus familiaris-Lyssavirus rabies"""
"""GB-Aves-H5N1 subtype"""
"""CL-Canis lupus familiaris-Lyssavirus rabies"""
"""RO-Sus scrofa-Suid alphaherpesvirus 1"""
"""CM-Homo sapiens-Influenza A virus"""
"""NO-Oncorhynchus mykiss-Viral hemorrhagic septicemia virus"""
"""CZ-Bos taurus-Bluetongue virus"""
"""ZM-Bos taurus-Foot-and-mouth disease virus"""
"""CH-Capra hircus-Bluetongue virus"""
"""IR-Aves-H5N1 subtype"""
"""MQ-Homo sapiens-Influenza A virus"""
"""IN-Homo sapiens-Influenza B virus"""
"""JM-Homo sapiens-Influenza B virus"""
"""KG-Homo sapiens-Influenza B virus"""
"""KG-Homo sapiens-Influenza A virus"""
"""MQ-Homo sapiens-Influenza B virus"""
"""FI-Bos taurus-H5N1 subtype"""
"""IL-Capra hircus-prion"""
"""NG-Bos taurus-Foot-and-mouth disease virus"""
"""EE-Homo sapiens-Influenza A virus"""
"""IN-Homo sapiens-Influenza A virus"""
"""TH-Aves-unidentified influenza virus"""
"""EE-Homo sapiens-Influenza B virus"""
"""JM-Homo sapiens-Influenza A virus"""
"""RO-Aves-Foot-and-mouth disease virus"""
"""HR-Homo sapiens-Influenza B virus"""
"""GP-Homo sapiens-Influenza A virus"""
"""KZ-Homo sapiens-Influenza B virus"""
"""AZ-Sus scrofa-African swine fever virus"""
"""PT-Ovis aries-prion"""
"""PK-Homo sapiens-Influenza B virus"""
"""TZ-Sus scrofa-African swine fever virus"""
"""MG-Bos taurus-Rift Valley fever virus"""
"""CR-Bos taurus-Trypanosoma vivax"""
"""ZA-Bos taurus-Rift Valley fever virus"""
"""SV-Sus scrofa-Classical swine fever virus"""
"""RO-Aves-African swine fever virus"""
"""FR-Canis lupus familiaris-Lyssavirus rabies"""
"""GH-Homo sapiens-Influenza A virus"""
"""OM-Homo sapiens-Influenza B virus"""
"""YT-Bos taurus-Rift Valley fever virus"""
"""NC-Bos taurus-Babesia bovis"""
"""ZA-Capra hircus-Rift Valley fever virus"""
"""BG-Homo sapiens-Influenza B virus"""
"""PK-Homo sapiens-Influenza A virus"""
"""IT-Bos taurus-Bluetongue virus"""
"""DO-Aves-Bluetongue virus"""
"""MG-Capra hircus-Rift Valley fever virus"""
"""AU-Penaeus monodon-Infectious hematopoietic necrosis virus"""
"""ET-Equidae-African horse sickness virus"""
"""KR-Aves-Influenza A virus"""
"""MU-Bos taurus-Lumpy skin disease virus"""
"""CO-Bos taurus-Foot-and-mouth disease virus"""
"""US-Bos taurus-Alcelaphine gammaherpesvirus 1"""
"""KZ-Homo sapiens-Influenza A virus"""
