Event ID,Event Type,Public,Number Affected,Event Start Date,Event End Date,Countries,States (or equivalent),Counties (or equivalent),Species,Event Diagnosis
201745,Mortality/Morbidity,TRUE,9,2/3/22,3/11/22,United States,Delaware,"Kent County, DE",Snow Goose; Unidentified Gull; Canada Goose; Great Blue Heron,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201739,Mortality/Morbidity,TRUE,15,1/6/22,2/4/22,United States,North Carolina,"Hyde County, NC",Snow Goose; Tundra Swan,Gout; Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
17332,Mortality/Morbidity,TRUE,1,6/10/15,6/10/15,United States,Minnesota,"Ramsey County, MN",Black-capped Chickadee,Highly Pathogenic Avian Influenza (AI virus H5); Undetermined
17331,Mortality/Morbidity,TRUE,1,3/16/15,3/16/15,United States,Wyoming,"Laramie County, WY",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N2); Undetermined
17329,Mortality/Morbidity,TRUE,1,3/13/15,3/13/15,United States,Kansas,"Lyon County, KS",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N2); Undetermined
17302,Mortality/Morbidity,TRUE,1,4/13/15,4/13/15,United States,Wisconsin,"Oconto County, WI",Snowy Owl,Highly Pathogenic Avian Influenza (AI virus H5N2)
17301,Mortality/Morbidity,TRUE,1,1/9/15,1/9/15,United States,Washington,"Skagit County, WA",Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5N2)
17300,Mortality/Morbidity,TRUE,1,4/14/15,4/14/15,United States,Minnesota,"Yellow Medicine County, MN",Cooper's Hawk,Highly Pathogenic Avian Influenza (AI virus H5N2)
17299,Mortality/Morbidity,TRUE,2,1/20/15,1/20/15,United States,Idaho,"Canyon County, ID",Bald Eagle; Mallard,Highly Pathogenic Avian Influenza (AI virus H5N8)
17253,Mortality/Morbidity,TRUE,22,5/28/15,6/15/15,United States,Michigan,"Macomb County, MI",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5) suspect; Highly Pathogenic Avian Influenza (AI virus H5N2); West Nile Virus; Trauma (not otherwise specified)
17229,Mortality/Morbidity,TRUE,1,12/30/14,12/30/14,United States,Washington,"Jefferson County, WA",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N2)
17221,Mortality/Morbidity,TRUE,1,12/29/14,12/29/14,United States,Washington,"Grays Harbor County, WA",Peregrine Falcon,Highly Pathogenic Avian Influenza (AI virus H5N8); Electrocution (not otherwise specified) suspect
17220,Mortality/Morbidity,TRUE,1,12/29/14,12/29/14,United States,Washington,"Whatcom County, WA",Cooper's Hawk,Highly Pathogenic Avian Influenza (AI virus H5N2); Trauma (predation or aggression) suspect
17167,Mortality/Morbidity,TRUE,1,12/31/14,12/31/14,United States,Washington,"Benton County, WA",Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5N2); Blunt Trauma (not otherwise specified)
17159,Mortality/Morbidity,TRUE,216,3/10/15,3/17/15,United States,Kentucky,"McCracken County, KY",Unidentified Waterfowl; Ring-necked Duck; Lesser Snow Goose; Mallard,Avian Cholera; Highly Pathogenic Avian Influenza (AI virus H5N2)
17120,Mortality/Morbidity,TRUE,16,3/6/15,3/11/15,United States,Missouri,"St Charles County, MO",Lesser Snow Goose; Mallard,Highly Pathogenic Avian Influenza (AI virus H5N2); Undetermined
17055,Mortality/Morbidity,TRUE,140,12/1/14,1/15/15,United States,Washington,"Whatcom County, WA",Trumpeter Swan; Tundra Swan; American Coot; American Wigeon; Mallard; Northern Pintail; Northern Shoveler; Ruddy Duck; Unidentified Duck,Aspergillosis; Emaciation (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5N2); Highly Pathogenic Avian Influenza (AI virus H5N8); Toxicosis (lead)
